id,product_series,product_name,manufacturer,product_type,supported_protocols
1012,Tmax XT4,Tmax XT4 & Ekip Hi-Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1013,Tmax T2,Tmax T2 & SD030DX,ABB,Circuit Breakers,modbus
1014,ITYS,PRO,Socomec,Uninterruptible Power Supplies,modbus
1015,Tmax XT7 M,Tmax XT7 M & Ekip G Hi-Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1016,CIO,MB,Littelfuse,Protection Relays,modbus
1017,EPM,9900P,General Electric,Power Meters,modbus
1018,Type DS,Type DS,Eaton,Circuit Breakers,modbus
1019,EPM,9450,General Electric,Power Meters,modbus
1020,EX,700,Eaton,Uninterruptible Power Supplies,modbus
1021,TOSVERT,VF-nC1,Toshiba,Variable Frequency Drives,modbus
1022,IZMX,IZMX 16 & PXR 25 & CAM + ECAM-MTCP,Eaton,Circuit Breakers,modbus
1023,Unidrive,M400 (Modified Addressing),Control Techniques,Variable Frequency Drives,modbus
1024,SMPR,1,Orion Italia,Protection Relays,modbus
1025,TCF,TF400,AC Tech,Variable Frequency Drives,modbus
1026,E-Pumps,11-22 kW with MGE Motor,Grundfos,Pump,modbus
1027,Countis,E13,Socomec,Power Meters,modbus
1028,Tmax XT4,Tmax XT4 & Ekip Dip & Ekip Com STA Modbus TCP,ABB,Circuit Breakers,modbus
1029,Moeller,NZM & PXR 25MP & XBSM + ECAM-MTCP,Eaton,Circuit Breakers,modbus
1030,NRX,NRX & Digitrip 1150 & CAM + ECAM,Eaton,Circuit Breakers,modbus
1031,ACQ,580,ABB,Variable Frequency Drives,modbus | ethernet-ip
1032,Adjustable Speed Drives,Q9,Toshiba,Variable Frequency Drives,modbus
1033,VS,B,Emotron,General Purpose AC Drives,modbus
1034,Tmax XT4,Tmax XT4 & Ekip LSIG & Ekip Com Modbus RS-485,ABB,Circuit Breakers,modbus
1035,Summit,750,Mitsubishi,Uninterruptible Power Supplies,modbus
1036,DIRIS,A-10,Socomec,Power Meters,modbus
1037,EC-300 Series,ECA381D,Hager,Power Meters,modbus
1038,Tmax XT7 M,Tmax XT7 M & Ekip M Touch & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
1039,EasyLogic,DM6200H,Schneider Electric,Power Meters,modbus
1040,VLT Micro Drive,FC 51,Danfoss,Variable Frequency Drives,modbus
1041,UR,G60,General Electric,Protection Relays,modbus
1042,PD,PD (ICCB) & PXR 20 & CAM + MCAM,Eaton,Circuit Breakers,modbus
1043,Optidrive,P2-Elevator,Invertek,Variable Frequency Drives,modbus
1044,AQ-200,E21,Arcteq Relays,Protection Relays,modbus
